t,imu_roll,imu_pitch,pid_roll,pid_pitch
1779027065.9278,0.001386,-0.008045,0.001086,0.001957
1779027065.9450,0.000382,-0.007999,0.001248,0.001948
1779027065.9603,-0.000619,-0.007951,0.001621,0.001930
1779027065.9760,-0.001616,-0.007902,0.001779,0.001922
1779027065.9917,-0.002606,-0.007846,0.001963,0.001905
1779027066.0074,-0.003588,-0.007793,0.002149,0.001901
1779027066.0229,-0.004562,-0.007748,0.002355,0.001908
1779027066.0381,-0.005526,-0.007719,0.002558,0.001929
1779027066.0534,-0.006484,-0.007703,0.002732,0.001950
1779027066.0689,-0.007434,-0.007701,0.002902,0.001976
1779027066.0843,-0.008377,-0.007709,0.003084,0.001998
1779027066.1001,-0.009312,-0.007723,0.003220,0.002012
1779027066.1160,-0.010096,-0.007800,0.003142,0.002130
1779027066.1312,-0.010719,-0.007974,0.003059,0.002331
1779027066.1472,-0.011259,-0.008073,0.002994,0.002224
1779027066.1628,-0.011724,-0.008122,0.002989,0.002161
1779027066.1784,-0.011958,-0.008066,0.002670,0.001984
1779027066.1945,-0.011942,-0.007887,0.002274,0.001764
1779027066.2027,-0.011795,-0.007750,0.001824,0.001598
1779027066.2166,-0.011532,-0.007631,0.001748,0.001779
1779027066.2239,-0.011165,-0.007524,0.000893,0.001609
1779027066.2374,-0.010707,-0.007427,0.001218,0.001779
1779027066.2445,-0.010167,-0.007338,0.000037,0.001625
1779027066.2514,-0.009556,-0.007257,-0.000371,0.001632
1779027066.2583,-0.008882,-0.007182,-0.000721,0.001644
1779027066.2653,-0.008155,-0.007114,-0.001066,0.001655
1779027066.2723,-0.007382,-0.007053,-0.001349,0.001670
1779027066.2792,-0.006554,-0.007015,-0.001765,0.001743
1779027066.2863,-0.005690,-0.006977,-0.001945,0.001744
1779027066.2931,-0.004800,-0.006942,-0.002389,0.001741
1779027066.3001,-0.003891,-0.006911,-0.002553,0.001754
1779027066.3072,-0.002969,-0.006882,-0.002717,0.001759
1779027066.3272,-0.002040,-0.006855,-0.000818,0.001825
1779027066.3351,-0.001109,-0.006828,-0.002760,0.001770
1779027066.3419,-0.000180,-0.006802,-0.003486,0.001755
1779027066.3487,0.000742,-0.006778,-0.003608,0.001759
1779027066.3556,0.001657,-0.006755,-0.003676,0.001762
1779027066.3626,0.002561,-0.006731,-0.003831,0.001755
1779027066.3695,0.003456,-0.006714,-0.003994,0.001776
1779027066.3764,0.004342,-0.006704,-0.004125,0.001802
1779027066.3974,0.005228,-0.006698,-0.002170,0.001832
1779027066.4045,0.006109,-0.006716,-0.004438,0.001907
1779027066.4112,0.006983,-0.006756,-0.004700,0.002000
1779027066.4182,0.007849,-0.006813,-0.004753,0.002071
1779027066.4252,0.008709,-0.006883,-0.004891,0.002131
1779027066.4321,0.009563,-0.006961,-0.005081,0.002183
1779027066.4390,0.010245,-0.007109,-0.004586,0.002461
1779027066.4460,0.010753,-0.007363,-0.004061,0.002897
1779027066.4529,0.011182,-0.007537,-0.003853,0.002640
1779027066.4599,0.011397,-0.007600,-0.003139,0.002255
1779027066.4669,0.011397,-0.007523,-0.002366,0.001742
1779027066.4738,0.011184,-0.007293,-0.001558,0.001143
1779027066.4877,0.010851,-0.007109,-0.001662,0.001607
1779027066.4947,0.010411,-0.006949,-0.000603,0.001332
1779027066.5016,0.009881,-0.006806,-0.000164,0.001367
1779027066.5085,0.009272,-0.006678,0.000242,0.001393
1779027066.5155,0.008594,-0.006561,0.000626,0.001412
1779027066.5224,0.007857,-0.006455,0.000976,0.001431
1779027066.5294,0.007069,-0.006357,0.001315,0.001445
1779027066.5364,0.006240,-0.006268,0.001631,0.001458
1779027066.5433,0.005377,-0.006187,0.001937,0.001468
1779027066.5573,0.004488,-0.006113,0.000588,0.001617
1779027066.5639,0.003581,-0.006044,0.002601,0.001477
1779027066.5703,0.002660,-0.005983,0.002933,0.001489
1779027066.5774,0.001734,-0.005927,0.002809,0.001520
1779027066.5844,0.000806,-0.005875,0.003072,0.001519
1779027066.5913,-0.000118,-0.005827,0.003236,0.001523
1779027066.5983,-0.001036,-0.005781,0.003408,0.001524
1779027066.6052,-0.001944,-0.005737,0.003550,0.001524
1779027066.6122,-0.002840,-0.005695,0.003682,0.001522
1779027066.6191,-0.003732,-0.005663,0.003852,0.001556
1779027066.6261,-0.004615,-0.005627,0.003991,0.001533
1779027066.6330,-0.005485,-0.005592,0.004123,0.001528
1779027066.6403,-0.006353,-0.005554,0.004140,0.001522
1779027066.6474,-0.007211,-0.005534,0.004378,0.001575
1779027066.6539,-0.008061,-0.005536,0.004772,0.001656
1779027066.6609,-0.008904,-0.005555,0.004714,0.001722
1779027066.6680,-0.009739,-0.005587,0.004765,0.001772
1779027066.6748,-0.010566,-0.005628,0.005073,0.001818
1779027066.6822,-0.011245,-0.005732,0.004442,0.002043
1779027066.6886,-0.011765,-0.005933,0.004293,0.002517
1779027066.6961,-0.012120,-0.006247,0.003532,0.002853
1779027066.7030,-0.012398,-0.006477,0.003397,0.002674
1779027066.7095,-0.012450,-0.006589,0.002606,0.002298
1779027066.7234,-0.012282,-0.006551,0.002074,0.001792
1779027066.7302,-0.011992,-0.006548,0.001254,0.001854
1779027066.7373,-0.011595,-0.006558,0.000851,0.001899
1779027066.7443,-0.011103,-0.006575,0.000378,0.001930
1779027066.7512,-0.010528,-0.006596,-0.000025,0.001951
1779027066.7582,-0.009880,-0.006620,-0.000434,0.001968
1779027066.7651,-0.009168,-0.006646,-0.000799,0.001982
1779027066.7721,-0.008401,-0.006674,-0.001139,0.001996
1779027066.7790,-0.007587,-0.006707,-0.001482,0.002018
1779027066.7865,-0.006735,-0.006741,-0.001560,0.002025
1779027066.7935,-0.005854,-0.006778,-0.002062,0.002051
1779027066.7999,-0.004948,-0.006818,-0.002599,0.002083
1779027066.8068,-0.004027,-0.006860,-0.002573,0.002092
1779027066.8138,-0.003095,-0.006906,-0.002788,0.002111
1779027066.8207,-0.002157,-0.006953,-0.003002,0.002129
1779027066.8277,-0.001219,-0.007003,-0.003193,0.002148
1779027066.8346,-0.000285,-0.007055,-0.003358,0.002167
1779027066.8416,0.000643,-0.007109,-0.003529,0.002187
1779027066.8485,0.001576,-0.007153,-0.003735,0.002164
1779027066.8555,0.002512,-0.007213,-0.003927,0.002232
1779027066.8624,0.003441,-0.007273,-0.004093,0.002246
1779027066.8694,0.004364,-0.007331,-0.004253,0.002253
1779027066.8763,0.005279,-0.007397,-0.004410,0.002291
1779027066.8833,0.006186,-0.007475,-0.004565,0.002355
1779027066.8972,0.007085,-0.007574,-0.003100,0.002274
1779027066.9041,0.007974,-0.007692,-0.004860,0.002548
1779027066.9111,0.008853,-0.007826,-0.005005,0.002631
1779027066.9180,0.009724,-0.007970,-0.005148,0.002699
1779027066.9250,0.010584,-0.008121,-0.005285,0.002753
1779027066.9319,0.011277,-0.008335,-0.004820,0.003024
1779027066.9389,0.011797,-0.008647,-0.004307,0.003443
1779027066.9458,0.012236,-0.008875,-0.004107,0.003187
1779027066.9528,0.012463,-0.008990,-0.003392,0.002805
1779027066.9597,0.012475,-0.008966,-0.002621,0.002302
1779027066.9667,0.012273,-0.008790,-0.001815,0.001719
1779027066.9737,0.011949,-0.008655,-0.001312,0.001846
1779027066.9806,0.011514,-0.008542,-0.000828,0.001899
1779027066.9876,0.010983,-0.008444,-0.000378,0.001938
1779027066.9945,0.010368,-0.008359,0.000041,0.001969
1779027067.0015,0.009678,-0.008285,0.000456,0.001993
1779027067.0084,0.008922,-0.008220,0.000837,0.002017
1779027067.0154,0.008110,-0.008164,0.001194,0.002039
1779027067.0293,0.007250,-0.008116,-0.000002,0.002147
1779027067.0362,0.006349,-0.008075,0.001868,0.002077
1779027067.0432,0.005415,-0.008042,0.002173,0.002101
1779027067.0504,0.004456,-0.008016,0.002317,0.002127
1779027067.0571,0.003477,-0.007996,0.002869,0.002142
1779027067.0698,0.002486,-0.007983,0.001347,0.002188
1779027067.0899,0.001470,-0.007984,0.000860,0.002220
1779027067.1003,0.000445,-0.007984,0.002283,0.002219
1779027067.1163,-0.000599,-0.007972,0.001648,0.002202
1779027067.1321,-0.001648,-0.007965,0.001879,0.002212
1779027067.1479,-0.002698,-0.007962,0.002097,0.002220
1779027067.1636,-0.003747,-0.007960,0.002323,0.002226
1779027067.1793,-0.004793,-0.007958,0.002522,0.002228
1779027067.1952,-0.005832,-0.007961,0.002700,0.002238
1779027067.2111,-0.006864,-0.007975,0.002893,0.002262
1779027067.2269,-0.007888,-0.008006,0.003109,0.002300
1779027067.2428,-0.008905,-0.008064,0.003291,0.002355
1779027067.2587,-0.009916,-0.008143,0.003489,0.002408
1779027067.2746,-0.010920,-0.008240,0.003684,0.002459
1779027067.2900,-0.011917,-0.008350,0.003925,0.002510
1779027067.3052,-0.012767,-0.008525,0.003881,0.002659
1779027067.3213,-0.013460,-0.008797,0.003701,0.002849
1779027067.3370,-0.013990,-0.009181,0.003582,0.003120
1779027067.3530,-0.014442,-0.009485,0.003538,0.003046
